# t Temp Pres Epot Etot
26.350000 1.984610 8.957644 -1303.038184 -540.947905
26.400000 1.996462 10.036721 -1248.957754 -482.316372
26.450000 2.021423 9.743321 -1261.736493 -485.510205
26.500000 2.010525 8.997538 -1295.924903 -523.883280
26.550000 1.996208 8.793357 -1305.868318 -539.324406
26.600000 1.975770 9.658408 -1258.217072 -499.521572
26.650000 2.028376 9.260708 -1283.094735 -504.198401
26.700000 1.997312 9.831461 -1249.366966 -482.398997
26.750000 2.003510 10.060559 -1238.677166 -469.329276
26.800000 2.015221 9.194590 -1281.252783 -507.407957
26.850000 2.001043 9.725478 -1252.583792 -484.183197
26.900000 1.995937 9.891701 -1247.109005 -480.669259
26.950000 1.993441 9.751940 -1252.680878 -487.199452
27.000000 2.035816 8.726423 -1311.191623 -529.438366
27.050000 2.009438 9.144936 -1283.662775 -512.038689
27.100000 1.996760 9.142167 -1292.257267 -525.501609
27.150000 1.991838 9.500100 -1278.307957 -513.442308
27.200000 2.010971 9.391733 -1277.395799 -505.182786
27.250000 2.005288 8.953581 -1295.545963 -525.515502
27.300000 2.009557 8.519504 -1325.832660 -554.162698
27.350000 2.014046 8.607625 -1322.842711 -549.449095
27.400000 1.996066 9.197571 -1288.956959 -522.467795
27.450000 2.011046 8.894569 -1305.591225 -533.349407
27.500000 2.023268 8.537150 -1321.045143 -544.110347
27.550000 1.995524 8.363748 -1324.222705 -557.941298
27.600000 1.967986 9.290110 -1268.703502 -512.996834
27.650000 2.008773 8.851203 -1300.866155 -529.497441
27.700000 2.014770 9.525858 -1259.223912 -485.552054
27.750000 2.012248 8.798656 -1301.340980 -528.637815
27.800000 1.996575 8.661033 -1307.026734 -540.341973
27.850000 1.989300 8.111970 -1340.770430 -576.879338
27.900000 2.000118 9.908714 -1240.507495 -472.462185
27.950000 2.014208 9.293934 -1280.253593 -506.797780
28.000000 2.018276 9.043875 -1288.236711 -513.218638
28.050000 1.990407 8.455645 -1320.609027 -556.292890
28.100000 1.990278 9.886552 -1243.584023 -479.317371
28.150000 2.000754 10.537172 -1207.439858 -439.150481
28.200000 1.995957 9.511477 -1268.843083 -502.395651
28.250000 2.003648 9.614264 -1262.459588 -493.058731
28.300000 2.020959 8.813263 -1303.071071 -527.022848
28.350000 2.007354 9.239169 -1280.871005 -510.047258
28.400000 2.003771 9.461364 -1271.649765 -502.201626
28.450000 2.018835 9.389873 -1275.842015 -500.609365
28.500000 2.006463 8.981752 -1297.209296 -526.727493
28.550000 1.986839 8.931354 -1290.197831 -527.251665
28.600000 2.000494 8.665589 -1303.562882 -535.373085
28.650000 1.988609 9.179027 -1280.622369 -516.996457
28.700000 2.018679 8.922571 -1302.924181 -527.751522
28.750000 1.999157 8.955221 -1300.385889 -532.709528
28.800000 1.997990 9.554727 -1265.681314 -498.453007
28.850000 2.009594 8.866127 -1299.616724 -527.932671
28.900000 1.981560 9.284438 -1275.715162 -514.795952
28.950000 2.010228 8.233845 -1341.226900 -569.299496
29.000000 2.004768 8.579927 -1315.008606 -545.177749
29.050000 2.012014 9.386235 -1266.500097 -493.886598
29.100000 1.990474 9.069108 -1290.562364 -526.220161
29.150000 1.992445 9.727139 -1253.430506 -488.331799
29.200000 2.026758 8.545977 -1326.742513 -548.467266
29.250000 1.948454 10.021521 -1234.878922 -486.672723
29.300000 2.024695 8.328906 -1334.227348 -556.744541
29.350000 1.992461 8.243768 -1338.770143 -573.665164
29.400000 1.997503 8.582983 -1323.111424 -556.070100
29.450000 1.991939 9.100215 -1295.288647 -530.383999
29.500000 2.019226 8.630080 -1316.781094 -541.398230
29.550000 1.985502 8.243639 -1337.739293 -575.306382
29.600000 2.024304 9.023606 -1295.502132 -518.169422
29.650000 1.978517 8.941957 -1300.691269 -540.940628
29.700000 2.000865 9.625647 -1264.541153 -496.209028
29.750000 1.986463 9.526182 -1275.817236 -513.015569
29.800000 1.987476 9.453677 -1280.641936 -517.451322
29.850000 2.011610 8.976014 -1302.444258 -529.986027
29.900000 1.994940 9.723050 -1256.236269 -490.179145
29.950000 2.000692 9.147627 -1288.011199 -519.745556
30.000000 2.006468 5.026348 -1233.955525 -463.471914
30.050000 1.975139 6.481602 -1141.720668 -383.267279
30.100000 2.007754 5.476536 -1207.618761 -436.641371
30.150000 2.010940 5.258756 -1219.144834 -446.943765
30.200000 2.000111 5.302327 -1218.108396 -450.065692
30.250000 2.004309 5.380322 -1205.108708 -435.454203
